query_id,class,alignment_score,identity_percent
Soil11.scaffold_211583530_c1_6,Alphaproteobacteria,4862.67,64.78503599649532
Soil11.scaffold_211583530_c1_6,Betaproteobacteria,5080.304,67.81759180429835
Soil11.scaffold_211583530_c1_6,Deltaproteobacteria,3758.4375,47.797428212083226
Soil11.scaffold_211583530_c1_6,Gammaproteobacteria,4909.874,64.8644359615251
Soil11.scaffold_587233302_c1_1,Alphaproteobacteria,4671.644,62.91585342064144
Soil11.scaffold_587233302_c1_1,Betaproteobacteria,5048.176,68.92720066854793
Soil11.scaffold_587233302_c1_1,Deltaproteobacteria,3677.6875,47.510808020564454
Soil11.scaffold_587233302_c1_1,Gammaproteobacteria,4767.084,63.721301131299036
Soil12.scaffold_266712765_c1_2,Alphaproteobacteria,5040.606,68.72385084404854
Soil12.scaffold_266712765_c1_2,Betaproteobacteria,4806.0,64.0558857647777
Soil12.scaffold_266712765_c1_2,Deltaproteobacteria,3672.25,47.43743148995655
Soil12.scaffold_266712765_c1_2,Gammaproteobacteria,4833.544,64.42103731597608
Soil14.scaffold_280216268_c1_12,Alphaproteobacteria,4643.658,61.779768998288404
Soil14.scaffold_280216268_c1_12,Betaproteobacteria,5063.136,68.31313781594424
Soil14.scaffold_280216268_c1_12,Deltaproteobacteria,3689.1875,47.02123709833177
Soil14.scaffold_280216268_c1_12,Gammaproteobacteria,4756.244,62.54516140501677
Soil14.scaffold_576820813_c1_40,Alphaproteobacteria,4311.958,56.17730444159604
Soil14.scaffold_576820813_c1_40,Betaproteobacteria,4466.29,58.240302326015815
Soil14.scaffold_576820813_c1_40,Deltaproteobacteria,3706.0,47.2894956076544
Soil14.scaffold_576820813_c1_40,Gammaproteobacteria,4355.462,56.47512089078996
Soil15.scaffold_16321085_c1_6,Alphaproteobacteria,4943.046,67.24160363081036
Soil15.scaffold_16321085_c1_6,Betaproteobacteria,4865.82,65.01345404822513
Soil15.scaffold_16321085_c1_6,Deltaproteobacteria,3684.6875,47.28783531168914
Soil15.scaffold_16321085_c1_6,Gammaproteobacteria,4861.406,65.13996900949289
Soil16.scaffold_313969256_c1_10,Alphaproteobacteria,5189.2,70.97713325983217
Soil16.scaffold_313969256_c1_10,Betaproteobacteria,4888.748,64.97330545591538
Soil16.scaffold_313969256_c1_10,Deltaproteobacteria,3725.5,47.85853411286745
Soil16.scaffold_313969256_c1_10,Gammaproteobacteria,4877.548,65.15090745505788
Soil16.scaffold_804923086_c1_3,Alphaproteobacteria,4871.36,65.30162316898597
Soil16.scaffold_804923086_c1_3,Betaproteobacteria,5124.488,69.09640649788426
Soil16.scaffold_804923086_c1_3,Deltaproteobacteria,3726.3125,47.73856793317036
Soil16.scaffold_804923086_c1_3,Gammaproteobacteria,4892.856,65.01004236116479
Soil17.scaffold_1202428475_c1_2,Alphaproteobacteria,5183.044,70.72662265879447
Soil17.scaffold_1202428475_c1_2,Betaproteobacteria,4876.244,64.91718013090018
Soil17.scaffold_1202428475_c1_2,Deltaproteobacteria,3714.1875,47.72909739211514
Soil17.scaffold_1202428475_c1_2,Gammaproteobacteria,4890.574,65.43959459524163
Soil17.scaffold_332687915_c1_2,Alphaproteobacteria,5045.804,68.53677012791492
Soil17.scaffold_332687915_c1_2,Betaproteobacteria,4813.352,63.85058547929893
Soil17.scaffold_332687915_c1_2,Deltaproteobacteria,3677.1875,47.14743679327552
Soil17.scaffold_332687915_c1_2,Gammaproteobacteria,4833.358,64.15988571091971
Soil3.scaffold_285743490_c1_2,Alphaproteobacteria,4862.38,66.50119275029544
Soil3.scaffold_285743490_c1_2,Betaproteobacteria,4856.584,65.57898015863753
Soil3.scaffold_285743490_c1_2,Deltaproteobacteria,3700.3125,48.005794506719
Soil3.scaffold_285743490_c1_2,Gammaproteobacteria,4865.83,65.5436634636795
Soil3.scaffold_408070428_c1_2,Alphaproteobacteria,4877.674,65.22007819148968
Soil3.scaffold_408070428_c1_2,Betaproteobacteria,5087.702,68.09103797662148
Soil3.scaffold_408070428_c1_2,Deltaproteobacteria,3708.1875,47.296070155895194
Soil3.scaffold_408070428_c1_2,Gammaproteobacteria,4895.234,64.76914779997708
Soil5.scaffold_215117222_c1_59,Alphaproteobacteria,4826.988,64.05314238916671
Soil5.scaffold_215117222_c1_59,Betaproteobacteria,5064.316,67.35497061147825
Soil5.scaffold_215117222_c1_59,Deltaproteobacteria,3708.625,47.092583030879304
Soil5.scaffold_215117222_c1_59,Gammaproteobacteria,4869.524,63.943496580968684
Soil5.scaffold_416434691_c1_48,Alphaproteobacteria,4928.07,67.39737529609307
Soil5.scaffold_416434691_c1_48,Betaproteobacteria,4895.916,65.89618185182259
Soil5.scaffold_416434691_c1_48,Deltaproteobacteria,3724.6875,48.032886688065354
Soil5.scaffold_416434691_c1_48,Gammaproteobacteria,4912.084,66.33050077381279
Soil6.scaffold_312871021_c1_4,Alphaproteobacteria,4669.012,61.85242205124371
Soil6.scaffold_312871021_c1_4,Betaproteobacteria,5032.066,67.42228497134445
Soil6.scaffold_312871021_c1_4,Deltaproteobacteria,3658.125,46.512969787132995
Soil6.scaffold_312871021_c1_4,Gammaproteobacteria,4787.526,62.978767507037446
Soil6.scaffold_460055642_c1_2,Alphaproteobacteria,4880.472,65.32398958344288
Soil6.scaffold_460055642_c1_2,Betaproteobacteria,5076.806,67.96979799086128
Soil6.scaffold_460055642_c1_2,Deltaproteobacteria,3701.0,47.15440793463437
Soil6.scaffold_460055642_c1_2,Gammaproteobacteria,4886.334,64.55828524551092
T0.scaffold_172278247_c1_4,Alphaproteobacteria,5175.216,70.6111900912153
T0.scaffold_172278247_c1_4,Betaproteobacteria,4875.662,64.72425304486121
T0.scaffold_172278247_c1_4,Deltaproteobacteria,3702.375,47.51290641231305
T0.scaffold_172278247_c1_4,Gammaproteobacteria,4874.546,65.05137503845059
T0.scaffold_786865677_c1_2,Alphaproteobacteria,5052.842,68.97102811195965
T0.scaffold_786865677_c1_2,Betaproteobacteria,4854.258,64.89384249661624
T0.scaffold_786865677_c1_2,Deltaproteobacteria,3687.625,47.44526625071874
T0.scaffold_786865677_c1_2,Gammaproteobacteria,4855.652,65.00242186318239
